BIOAC;HT;HF;H;ACI;NDSI;ADI;NP;FILE;START;SM
14,54376089;0,968866191;0,957057061;0,927260229;4408,660573;-0,119128453;2,442076;6;SMA11316_20260906_110000.wav;06/09/2026 11:00;SMA11316
13,25676746;0,968647714;0,957839586;0,927809125;4400,716996;-0,006444272;2,18611;2;SMA11316_20260906_120000.wav;06/09/2026 12:00;SMA11316
16,59947197;0,966906167;0,9788978;0,946502319;4414,843448;0,308253903;2,002582;1;SMA11316_20260906_130000.wav;06/09/2026 13:00;SMA11316
16,72208785;0,967891499;0,979014391;0,947579707;4421,697052;0,326462009;2,074736;1;SMA11316_20260906_140000.wav;06/09/2026 14:00;SMA11316
18,25231187;0,958813124;0,97642061;0,936204896;4438,629468;0,071948997;2,082348;2;SMA11316_20260906_150000.wav;06/09/2026 15:00;SMA11316
19,29532643;0,968900418;0,972444888;0,942202258;4399,491662;0,036837947;2,252795;6;SMA11316_20260906_160000.wav;06/09/2026 16:00;SMA11316
18,76797033;0,973409775;0,968426505;0,942675826;4398,343531;-0,292963308;2,186489;1;SMA11316_20260906_170000.wav;06/09/2026 17:00;SMA11316
17,66086972;0,977284906;0,972155865;0,950073253;4405,865279;-0,209993394;2,361675;5;SMA11316_20260906_180000.wav;06/09/2026 18:00;SMA11316
16,0928392;0,979739518;0,975609435;0,955843118;4304,943134;0,091818949;1,935495;16;SMA11316_20260906_190000.wav;06/09/2026 19:00;SMA11316
15,38787521;0,972076458;0,957894086;0,93114629;4481,253726;-0,164269088;2,346033;10;SMA11316_20260906_200000.wav;06/09/2026 20:00;SMA11316
18,89853302;0,977682464;0,944755729;0,92367111;4366,321744;0,987820195;2,460295;13;SMA11316_20260906_210000.wav;06/09/2026 21:00;SMA11316
18,08183976;0,979861053;0,923308676;0,904714212;4477,865862;0,997204049;2,356962;10;SMA11316_20260906_220000.wav;06/09/2026 22:00;SMA11316
21,32471933;0,977330193;0,923786725;0,902844658;4547,050488;0,999579894;2,368501;15;SMA11316_20260906_230000.wav;06/09/2026 23:00;SMA11316
21,98725551;0,977376099;0,947815949;0,926372655;4368,321323;0,998929892;2,445211;21;SMA11316_20260907_000000.wav;07/09/2026;SMA11316
